Column Name,Definition,Label
Docetaxel administration - N (%) | Treatment,"What percentage of participants in the treatment arm of the clinical trial who received docetaxel before or during the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Docetaxel administration - N (%)
Docetaxel administration - N (%) | Control,"What number and percentage of participants who received docetaxel before or during the trial in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Docetaxel administration - N (%)
Median Age (years) | Treatment,What median age in years of participants included in the treatment arm of the clinical trial? Your answer should be a single number (year) or 'NA',Median Age (years)
Median Age (years) | Control,What the median age of participants included in the control arm of the clinical trial? Your answer should be a single number (year) or 'NA',Median Age (years)
Race - N (%) | White | Treatment,"What number and percentage of participants of White race included in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | White | Control,"What number and percentage of control arm participants who identified as White in terms of their racial background? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Black or African American | Treatment,"What number and percentage of participants identifying as Black or African American in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Black or African American | Control,"What number and percentage of participants identified as Black or African American in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Asian | Treatment,"What the number and percentage of participants in the treatment arm of the clinical trial who are of Asian race? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Asian | Control,"What the number and percentage of participants in the control arm of the trial who identify as Asian? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Nat. Hawaiian or Pac. Islander | Treatment,"What number and percentage of participants identifying as Native Hawaiian or Pacific Islander in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Nat. Hawaiian or Pac. Islander | Control,"What number and percentage of patients in the control arm of the trial who identify as Native Hawaiian or Pacific Islander by race? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Amer. Indian or Alaska Nat. | Treatment,"What number and percentage of participants in the treatment arm of the clinical trial who identify as American Indian or Alaska Native by race? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Amer. Indian or Alaska Nat. | Control,"What number and percentage of participants in the control arm of the trial who identified as American Indian or Alaska Native by race? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Other | Treatment,"What the number and percentage of participants in the treatment arm of the clinical trial who identified as ""other"" in terms of race? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Other | Control,"What number and percentage of participants with 'Other' race included in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Unknown | Treatment,"What number and percentage of participants with unknown race included in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Race - N (%) | Unknown | Control,"What number and percentage of participants in the control arm of the trial with unknown race? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Race - N (%)
Region - N (%) | North America | Treatment,"What number and percentage of participants from North America included in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | North America | Control,"What number and percentage of participants in the control arm of the trial who were from the North America region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | South America | Treatment,"What number and percentage of participants in the treatment arm of the clinical trial from the South America region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | South America | Control,"What number and percentage of patients in the control arm of the trial from the South America region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Europe | Treatment,"What number and percentage of participants included in the treatment arm of the clinical trial from the Europe region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Europe | Control,"What number and percentage of patients in the control arm of the trial from the Europe region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Africa | Treatment,"What number and percentage of participants in the treatment arm of the trial who were from the Africa region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Africa | Control,"What number and percentage of participants in the control arm of the trial from the Africa region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Asia | Treatment,"What the number and percentage of participants in the treatment arm of the clinical trial who are from the Asia region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Asia | Control,"What number and percentage of patients in the control arm of the trial from the Asian region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Oceania | Treatment,"What number and percentage of participants in the treatment arm of the clinical trial who are from the Oceania region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
Region - N (%) | Oceania | Control,"What number and percentage of participants in the control arm of the trial from the Oceania region? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Region - N (%)
PS - N (%) | 0 | Treatment,"What number and percentage of participants included in the treatment arm with a Performance Status (PS) score of 0? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",PS - N (%)
PS - N (%) | 0 | Control,"What the number and percentage of patients with a Performance Status (PS) score of 0 in the control arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",PS - N (%)
PS - N (%) | 1-2 | Treatment,"What number and percentage of participants with a Performance Status (PS) score of 1-2 in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",PS - N (%)
PS - N (%) | 1-2 | Control,"What number and percentage of patients with performance status (PS) score of 1-2 in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",PS - N (%)
Gleason score - N (%) | ≤ 7 | Treatment,"What number and percentage of participants included in the treatment arm of the clinical trial with a Gleason score of 7 or less? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Gleason score - N (%)
Gleason score - N (%) | ≤ 7 | Control,"What number and percentage of patients with a Gleason score of 7 or less in the control arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Gleason score - N (%)
Gleason score - N (%) | ≥ 8 | Treatment,"What number and percentage of participants in the treatment arm of the clinical trial with a Gleason score of 8 or higher? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Gleason score - N (%)
Gleason score - N (%) | ≥ 8 | Control,"What number and percentage of patients in the control arm of the clinical trial with a Gleason score of 8 or higher? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Gleason score - N (%)
Metastases - N (%) | Liver | Treatment,"What the number and percentage of participants in the treatment of the trial who had liver as the metastatic site? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Metastases - N (%) | Liver | Control,"What the number and percentage of participants in the control arm of the trial who had liver as the metastatic site? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Metastases - N (%) | Lungs | Treatment,"What the number and percentage of participants in the treatment arm of the trial who had lungs as the metastatic site? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Metastases - N (%) | Lungs | Control,"What the number and percentage of participants in the control arm of the trial who had lungs as the metastatic site? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Metastases - N (%) | Bone | Treatment,"What number and percentage of participants in the treatment arm of the clinical trial who have metastases in the bone? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Metastases - N (%) | Bone | Control,"What the number and percentage of patients showing metastases in the bone in the control arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Metastases - N (%) | Nodal | Treatment,"What the number and percentage of participants in the treatment arm of the clinical trial who have metastases in the lymph nodes? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Metastases - N (%) | Nodal | Control,"What the number and percentage of patients showing metastases in the nodal region in the control arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Metastases - N (%)
Previous local therapy - N (%) | Prostatectomy | Treatment,"What the number and percentage of participants in the treatment arm of the trial who received prostatectomy as a previous local therapy? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Previous local therapy - N (%)
Previous local therapy - N (%) | Prostatectomy | Control,"What number and percentage of patients in the control arm of the trial who received previous local therapy in the form of prostatectomy? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Previous local therapy - N (%)
Previous local therapy - N (%) | Orchiectomy | Treatment,"What number and percentage of participants who received orchiectomy as a previous local therapy in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Previous local therapy - N (%)
Previous local therapy - N (%) | Orchiectomy | Control,"What the number and percentage of patients in the control arm of the trial who received previous local orchiectomy therapy? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Previous local therapy - N (%)
Previous local therapy - N (%) | Radiotherapy | Treatment,"What number and percentage of participants in the treatment arm who received radiotherapy as previous local therapy? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Previous local therapy - N (%)
Previous local therapy - N (%) | Radiotherapy | Control,"What number and percentage of patients in the control arm of the trial who received previous local radiotherapy? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Previous local therapy - N (%)
Primary Endpoint(s),What the main outcome(s) or objective(s) that the clinical trial is designed to measure or achieve? ,Primary Endpoint(s)
Secondary Endpoint(s),"What the secondary outcome(s) or objective(s) of the clinical trial, in addition to the primary endpoint, that are being measured or evaluated? ",Secondary Endpoint(s)
ORR - N (%) | Treatment | Overall,What percentage of total patients in the experimental arm showed overall response (complete or partial response) of metastatic disease? ,ORR - N (%)
ORR - N (%) | Treatment | CR,What percentage of total patients in the experimental arm showed complete response of metastatic disease? ,ORR - N (%)
ORR - N (%) | Treatment | SD,What percentage of total patients in the experimental arm showed stable metastatic disease? ,ORR - N (%)
ORR - N (%) | Treatment | PD,What percentage of total patients in the experimental arm showed progression of metastatic disease? ,ORR - N (%)
ORR - N (%) | Control | Overall,What percentage of total patients in the control arm showed overall response (complete or partial response) of metastatic disease? ,ORR - N (%)
ORR - N (%) | Control | CR,What percentage of total patients in the control arm showed complete response of metastatic disease? ,ORR - N (%)
ORR - N (%) | Control | SD,What percentage of total patients in the control arm showed stable metastatic disease? ,ORR - N (%)
ORR - N (%) | Control | PD,What percentage of total patients in the control arm showed progression of metastatic disease? ,ORR - N (%)
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,"What the number and percentage of patients experiencing adverse events of all causes with a grade of 3 or higher in the treatment arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Adverse Events - N (%)
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,"What number and percentage of patients experiencing all-cause adverse events with a grade of 3 or higher in the control arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,"What number and percentage of patients experiencing treatment-related adverse events with a grade of 3 or higher in the treatment arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,"What the number and percentage of patients experiencing adverse events that are related to the treatment and have a severity grade of 3 or higher in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,"What the number and percentage of patients showing adverse events that are treatment-related and have a grade of 5 in the treatment arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 5 | Control,"What the number and percentage of patients experiencing treatment-related adverse events with a grade of 5 in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Adverse Events - N (%)
No. of Deaths - N | Treatment,What the number of participants who died in the treatment arm of the clinical trial? ,No. of Deaths - N
No. of Deaths - N | Control,What number of deaths that occurred in the control arm of the clinical trial? ,No. of Deaths - N
TTPSA (mo) | Treatment,What time To Progression of Serum Androgen (in months) in the treatment arm of the clinical trial? Your answer should be a single number (months) or 'NA',TTPSA (mo)
TTPSA (mo) | Control,What time to Progressive Serum Androgen (TTPSA) in months for participants in the control arm of the clinical trial? Your answer should be a single number (months) or 'NA',TTPSA (mo)
OS Rate (%) | Overall | Treatment,What percentage of total patients in the experimental arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | Overall | Control,What percentage of total patients in the control arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | Synchronous | Treatment,What percentage of patients with metastasis at the time of diagnosis (synchronous metastasis) in the experimental arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | Synchronous | Control,What percentage of patients with metastasis at the time of diagnosis (synchronous metastasis) in the control arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | Metachronous | Treatment,What percentage of patients with metastasis after diagnosis (metachronous metastasis) in the experimental arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | Metachronous | Control,What percentage of patients with metastasis after diagnosis (metachronous metastasis) in the control arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | High volume | Treatment,What percentage of patients with high volume metastasis (by CHAARTED criteria) in the experimental arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | High volume | Control,What percentage of patients with high volume metastasis (by CHAARTED criteria) in the control arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | Low volume | Treatment,What percentage of patients with low volume metastasis (by CHAARTED criteria) in the experimental arm survived at the latest follow-up? ,OS Rate (%)
OS Rate (%) | Low volume | Control,What percentage of patients with low volume metastasis (by CHAARTED criteria) in the control arm survived at the latest follow-up? ,OS Rate (%)
Median OS (mo) | Overall | Treatment,What is the median overall survival (in months) for all patients in the experimental arm? ,Median OS (mo)
Median OS (mo) | Overall | Control,What is the median overall survival (in months) for all patients in the control arm? ,Median OS (mo)
Median OS (mo) | High volume | Treatment,What is the median overall survival (in months) for patients with high volume metastasis (by CHAARTED criteria) in the experimental arm? ,Median OS (mo)
Median OS (mo) | High volume | Control,What is the median overall survival (in months) for patients with high volume metastasis (by CHAARTED criteria) in the control arm? ,Median OS (mo)
Median OS (mo) | Low volume | Treatment,What is the median overall survival (in months) for patients with low volume metastasis (by CHAARTED criteria) in the experimental arm? ,Median OS (mo)
Median OS (mo) | Low volume | Control,What is the median overall survival (in months) for patients with low volume metastasis (by CHAARTED criteria) in the control arm? ,Median OS (mo)
PFS Rate (%) | Overall | Treatment,"What the hazard ratio with confidence intervals of progression-free survival (PFS) of all comparisons in all participants, regardless of metastasis type or volume, in the treatment arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",PFS Rate (%)
PFS Rate (%) | Overall | Control,"What hazard ratio with confidence intervals of Progression-Free Survival (PFS) of all comparisons in all participants in the control arm of the trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",PFS Rate (%)
Median PFS (mo) | Overall | Treatment,What is the median progression free survival (in months) for all patients in the experimental arm? ,Median PFS (mo)
Median PFS (mo) | Overall | Control,What is the median progression free survival (in months) for all patients in the control arm? ,Median PFS (mo)
Median PFS (mo) | High volume | Treatment,What is the median progression free survival (in months) for patients with high volume metastasis (by CHAARTED criteria) in the experimental arm? ,Median PFS (mo)
Median PFS (mo) | High volume | Control,What is the median progression free survival (in months) for patients with high volume metastasis (by CHAARTED criteria) in the control arm? ,Median PFS (mo)
Median PFS (mo) | Low volume | Treatment,What is the median progression free survival (in months) for patients with low volume metastasis (by CHAARTED criteria) in the experimental arm? ,Median PFS (mo)
Median PFS (mo) | Low volume | Control,What is the median progression free survival (in months) for patients with low volume metastasis (by CHAARTED criteria) in the control arm? ,Median PFS (mo)
COE_RCT_IND_OVERALL_RJ,What is the overall risk judgment of individual criteria of evidence (COE) in randomized controlled trials (RCT)? ,COE_RCT_IND_OVERALL_RJ
Add-on Treatment,What is the name of additional therapy or intervention given in combination with the primary treatment in the clinical trial?,Add-on Treatment
Treatment Class,What is the categorization or classification of the treatment or therapy received by participants in the clinical trial?,Treatment Class
Type of Therapy,What is the description of the type of treatment or intervention provided to participants in the clinical trial? ,Type of Therapy
